id,value,feed_id,created_at,lat,lon,ele
0G1D8MDV7YHCV1K86C7055TGGB,-76,3243843,2025-11-25 14:03:48 UTC,,,
0G1D8MER8FT7BS8ARQ69B9C40G,-72,3243843,2025-11-25 14:03:51 UTC,,,
0G1D8MFNH5PVJPXKEG6XF4V9SK,-75,3243843,2025-11-25 14:03:54 UTC,,,
0G1D8MGJT46K15H4EC32VVFXW3,-67,3243843,2025-11-25 14:03:57 UTC,,,
0G1D8MHHFGD8XK9SPGHGX3P5Y7,-70,3243843,2025-11-25 14:04:00 UTC,,,
0G1D8MJDBYE1QJZAPQZMJ163P8,-56,3243843,2025-11-25 14:04:03 UTC,,,
0G1D8MKAXGVH6SX5232GM44MJR,-69,3243843,2025-11-25 14:04:06 UTC,,,
0G1D8MM80W2RTV4N52MQTPWDZZ,-62,3243843,2025-11-25 14:04:09 UTC,,,
0G1D8MN6CH58PEQDDFA384EXMW,-67,3243843,2025-11-25 14:04:12 UTC,,,
0G1D8NR05ZTTT3B5C1TMVR3MFN,-77,3243843,2025-11-25 14:06:06 UTC,,,
0G1D8P4ACFPZR63M13ZYXFRSYH,-75,3243843,2025-11-25 14:06:47 UTC,,,
0G1D8P5BWKSBN0CQJESK4KZJGT,-68,3243843,2025-11-25 14:06:50 UTC,,,
0G1D8P69D2HFN8X0P759ZWV3A2,-69,3243843,2025-11-25 14:06:53 UTC,,,
0G1D8P8NJTBKEWYFKMNH8GSKX3,-72,3243843,2025-11-25 14:07:01 UTC,,,
0G1D8P9M6EMT58DHJ96ZWHYBX8,-70,3243843,2025-11-25 14:07:04 UTC,,,
0G1D8PAGBSKVBV27NM2TGJV8M5,-73,3243843,2025-11-25 14:07:07 UTC,,,
0G1D8PCCKH9XP5X8AXFAQPHY5Y,-72,3243843,2025-11-25 14:07:13 UTC,,,
0G1D8PPRARNFKEZVZDBF09MFFX,-60,3243843,2025-11-25 14:07:47 UTC,,,
0G1D8PQQBGB1HSMWMHG5V96G32,-56,3243843,2025-11-25 14:07:50 UTC,,,
0G1D8PRKFJF82P18KR18C4J29G,-55,3243843,2025-11-25 14:07:53 UTC,,,
0G1D8PSK9JJH63DD2CTSA3VDZ7,-59,3243843,2025-11-25 14:07:56 UTC,,,
0G1D8PTETDX4868Y0PYP560SYB,-60,3243843,2025-11-25 14:07:59 UTC,,,
0G1D8PW9ENWT32EZMVH4PVJCRN,-58,3243843,2025-11-25 14:08:05 UTC,,,
0G1D8PX6R9Q9MR4VH6CHXG3H9B,-56,3243843,2025-11-25 14:08:08 UTC,,,
0G1D8PY4BECMRW27E0XG7BKD32,-52,3243843,2025-11-25 14:08:11 UTC,,,
0G1D8PZ1E7AY97KP584CA0WZKS,-52,3243843,2025-11-25 14:08:14 UTC,,,
0G1D8PZYS0EN2365K8XB0C1D0K,-52,3243843,2025-11-25 14:08:17 UTC,,,
0G1D8Q0W14S3ZFR2X751VEAC4J,-52,3243843,2025-11-25 14:08:20 UTC,,,
0G1D8Q1SAJ7E4DBGA21KRYVACX,-55,3243843,2025-11-25 14:08:23 UTC,,,
0G1D8Q2PKMHMW639YZT3FKQEJB,-57,3243843,2025-11-25 14:08:26 UTC,,,
0G1D8Q3KWCG70DXKF23VPZPRKK,-61,3243843,2025-11-25 14:08:29 UTC,,,
0G1D8Q4H6V3JKC1XZV1KD6SPD6,-58,3243843,2025-11-25 14:08:32 UTC,,,
0G1D8Q5EJF3JR2QH5X2XEDKJVD,-50,3243843,2025-11-25 14:08:35 UTC,,,
0G1D8Q6BXTGJV07T9CTPNKT72Q,-65,3243843,2025-11-25 14:08:38 UTC,,,
0G1D8Q793NQAKJYKYGAJ5QJZ7J,-60,3243843,2025-11-25 14:08:41 UTC,,,
0G1D8Q876G5N8JF1CE9HTYJKXR,-61,3243843,2025-11-25 14:08:44 UTC,,,
0G1D8Q941YYHMQ3AR1Y1C61MDP,-53,3243843,2025-11-25 14:08:47 UTC,,,
0G1D8QA123SXPW9ZJR25NB3EN8,-59,3243843,2025-11-25 14:08:50 UTC,,,
0G1D8QAYBNX32E8986152T3RF7,-51,3243843,2025-11-25 14:08:53 UTC,,,
0G1D8QBWZDSNGG5WY4Y18J0E1B,-66,3243843,2025-11-25 14:08:56 UTC,,,
0G1D8QCSA94PHPSG57GVWE4CST,-64,3243843,2025-11-25 14:08:59 UTC,,,
0G1D8QDQFC5E2SXHWCMMFFZ0T5,-76,3243843,2025-11-25 14:09:02 UTC,,,
0G1D8R0DMYAXYV1W5RVFP5TJ2A,-77,3243843,2025-11-25 14:10:04 UTC,,,
0G1D8R2ZJEVBNXJENV4BJD489H,-80,3243843,2025-11-25 14:10:12 UTC,,,
